Companies,Company Sectors,Company Headquarters,Countries,Regions,Response Sectors,Backdate,Title,Responded To,Tags,Responded,Authors,URL,Link to Company Page
Morgan Stanley,Finance & banking,US,GO,,,2015-01-15,Morgan Stanley did not respond,BankTrack report finds banks not yet living up to human rights obligations under UN Guiding Principles,Company Policies,No,,https://www.business-humanrights.org/en/latest-news/morgan-stanley-did-not-respond/,https://www.business-humanrights.org/en/companies/morgan-stanley/
Primark (part of Associated British Foods),Clothing & textile|Footwear,GB,GO|MM,,,2020-11-23,Primark's response re. wages in supply chain,Myanmar: Primark responds to reports of 2000+ workers owed wages following factory closure,Covid-19|Living Wage,Yes,,https://www.business-humanrights.org/en/latest-news/primarks-response-re-wages-in-supply-chain/,https://www.business-humanrights.org/en/companies/primark-part-of-associated-british-foods/
Deloitte Touche Tohmatsu,"Auditing, consulting & accounting",GB,GO,,,2021-01-25,Deloitte LLP's response re. Arcadia Group administration,Arcadia Group apparel suppliers call on administrators Deloitte LLP to ensure all payments owed for orders are fulfilled,Covid-19|Supply Chains,Yes,,https://www.business-humanrights.org/en/latest-news/deloitte-llps-response-re-arcadia-group-administration/,https://www.business-humanrights.org/en/companies/deloitte-touche-tohmatsu/
Nespresso (part of Nestlé),Coffee,CH,GO,,Coffee,2021-10-22,Réponse de Nespresso au rapport du CCFD-Terre Solidaire sur le mécanisme de compensation carbone,"Un rapport dénonce les mécanismes de compensation carbone d'Air France, Nespresso et Total ; avec les réponses des entreprises","Clean, Healthy & Sustainable Environment|Climate Crisis|Company Policies|Supply Chains",Yes,Nespresso France,https://www.business-humanrights.org/en/latest-news/réponse-de-nespresso-au-rapport-du-ccfd-terre-solidaire-sur-le-mécanisme-de-compensation-carbone/,https://www.business-humanrights.org/en/companies/nespresso-part-of-nestlé/
TotalEnergies (formerly Total),"Energy|Hydrogen|Oil, gas & coal",FR,GO,,"Oil, gas & coal",2021-10-26,"Réponse de TotalEnergies au rapport ""Compensation carbone : tout sauf neutre !"" de CCFD-Terre Solidaire","Un rapport dénonce les mécanismes de compensation carbone d'Air France, Nespresso et Total ; avec les réponses des entreprises",Climate Crisis,Yes,TotalEnergies,https://www.business-humanrights.org/en/latest-news/réponse-de-totalenergies-au-rapport-compensation-carbone-tout-sauf-neutre-de-ccfd-terre-solidaire/,https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/
Air France KLM,Aircraft/Airline,FR,GO,,Aircraft/Airline,2021-10-25,Air France n'a pas répondu aux allégations du rapport du CCFD-Terre Solidaire,"Un rapport dénonce les mécanismes de compensation carbone d'Air France, Nespresso et Total ; avec les réponses des entreprises",Climate Crisis,No,,https://www.business-humanrights.org/en/latest-news/air-france-na-pas-répondu-aux-allégations-du-rapport-du-ccfd-terre-solidaire/,https://www.business-humanrights.org/en/companies/air-france-klm/
Webuild,Construction,IT,GO,,,2021-12-14,WeBuild's response,WeBuild responds to article analysing alleged controversies related to 38 hydropower projects,Company Reporting,Yes,,https://www.business-humanrights.org/en/latest-news/webuilds-response/,https://www.business-humanrights.org/en/companies/salini-impregilo/
Allianz,Insurance,DE,GO,,,2022-06-21,Response by Allianz,Germany: Report alleges financial institutions continue relationships with companies that have a record of human rights and environmental abuse,Project financing & loans,Yes,,https://www.business-humanrights.org/en/latest-news/response-by-allianz-2/,https://www.business-humanrights.org/en/companies/allianz/
Hennes & Mauritz (H&M),Clothing & textile,SE,GO,,,2022-09-21,H&M's response to BHRRC report on freedom of association in garment supply chains,,Freedom of Association,Yes,,https://www.business-humanrights.org/en/latest-news/hm-response-to-bhrrc-report-on-freedom-of-association-in-garment-supply-chains/,https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/
adidas,Clothing & textile|Footwear|Retail|Sporting goods,DE,GO,,,2022-09-23,adidas' response to BHRRC report on freedom of association in garment supply chains,"Asia: Brand, retailer and supplier responses to BHRRC report on freedom of association in garment supply chains",Freedom of Association,Yes,,https://www.business-humanrights.org/en/latest-news/adidas-response-to-bhrrc-report-on-freedom-of-association-in-garment-supply-chains/,https://www.business-humanrights.org/en/companies/adidas/
