Companies,Company Sectors,Company Headquarters,Countries,Regions,Response Sectors,Backdate,Title,Responded To,Tags,Responded,Authors,URL,Link to Company Page,InferredCountry,Countries_Filled
Aquila Capital,Finance & banking,DE,NO,,Wind energy,2020-08-18,Aquila Capital responded,Norway: Wind park allegedly threatens herding livelihoods of indigenous Saami community,"Clean, Healthy & Sustainable Environment|Climate Crisis|Indigenous Peoples|Just transition|Land Rights",Yes,,https://www.business-humanrights.org/en/latest-news/aquila-capital-responded/,https://www.business-humanrights.org/en/companies/aquila-capital/,,NO
Eolus Vind,Wind energy,SE,NO,,Wind energy,2020-08-18,Eolus Vind responded,Norway: Wind park allegedly threatens herding livelihoods of indigenous Saami community,"Clean, Healthy & Sustainable Environment|Climate Crisis|Indigenous Peoples|Just transition|Land Rights",Yes,,https://www.business-humanrights.org/en/latest-news/eolus-vind-responded/,https://www.business-humanrights.org/en/companies/eolus-vind/,,NO
Alcoa,Metals & steel|Mining,US,NO,,Wind energy,2020-08-18,Alcoa responded,Norway: Wind park allegedly threatens herding livelihoods of indigenous Saami community,"Clean, Healthy & Sustainable Environment|Climate Crisis|Indigenous Peoples|Just transition|Land Rights",Yes,,https://www.business-humanrights.org/en/latest-news/alcoa-responded/,https://www.business-humanrights.org/en/companies/alcoa/,,NO
Banco Internacional de Moçambique - International Bank of Mozambique,Finance & banking,MZ,MZ,,,2020-08-17,International Bank of Mozambique,Maritime shipping’s industry and legal chicanery are to blame for Beirut’s Blast; two cos. did not respond,,No,,https://www.business-humanrights.org/en/latest-news/international-bank-of-mozambique/,https://www.business-humanrights.org/en/companies/banco-internacional-de-moçambique-international-bank-of-mozambique/,,MZ
Fábrica de Explosivos de Moçambique,Chemical: General,MZ,MZ,,,2020-08-17,Fábrica de Explosivos de Moçambique,Maritime shipping’s industry and legal chicanery are to blame for Beirut’s Blast; two cos. did not respond,Injuries|Killings,No,,https://www.business-humanrights.org/en/latest-news/fábrica-de-explosivos-de-moçambique/,https://www.business-humanrights.org/en/companies/fábrica-de-explosivos-de-moçambique/,,MZ
Al Raqeeb Buildings General Contracting Co.,Construction,KW,KW,Middle East & No. Africa,Construction,2020-08-18,Al Raqeeb Buildings General Contracting Co. did not respond to allegations of withheld wages & passports,Kuwait: Al Raqeeb Co. reportedly withholding wages & passports from stranded workers; co. did not respond,Adequate Living Standards|Freedom of Movement|Housing|Labour Rights|Living Wage|Migrants & Immigrants|Personal Health|Wage Theft,No,,https://www.business-humanrights.org/en/latest-news/al-raqeeb-buildings-general-contracting-co-did-not-respond-to-allegations-of-withheld-wages-passports/,https://www.business-humanrights.org/en/companies/al-raqeeb-buildings-general-contracting-co/,,KW
X Corp. (formerly Twitter),Technology: Artificial Intelligence (AI)|Technology: General|Technology: Internet & social media,US,AE,Middle East & No. Africa,"Technology: Internet & social media|Technology, telecom & electronics",2020-08-17,Twitter did not respond re blocking of UAE human rights defender's accounts,UAE: Twitter faces allegations of free speech restrictions following suspension of activist account; co. did not respond,Freedom of Expression,No,,https://www.business-humanrights.org/en/latest-news/twitter-did-not-respond-re-blocking-of-uae-human-rights-defenders-accounts/,https://www.business-humanrights.org/en/companies/twitter/,,AE
Comisión Federal de Electricidad (CFE),Hydropower & dam projects,MX,MX,,,2020-08-18,CFE no respondió,México: Acusan a termoeléctrica de CFE en Hidalgo de violar límites de emisiones mortales; la empresa no responde,"Clean, Healthy & Sustainable Environment",No,,https://www.business-humanrights.org/en/latest-news/cfe-no-respondió/,https://www.business-humanrights.org/en/companies/comisión-federal-de-electricidad-cfe/,,MX
Harita Nickel,Metals & steel|Mining,ID,ID,,Mining,2020-08-24,Harita did not respond to the rejoinder,Indonesia: Mining companies seek approval to dispose mining waste into ocean despite potential damage to local ecosystem; Harita responds,"Clean, Healthy & Sustainable Environment",No,,https://www.business-humanrights.org/en/latest-news/indonesia-mining-companies-seek-approval-to-dispose-mining-waste-into-ocean-despite-potential-damage-to-local-ecosystem-harita-responds/harita-did-not-respond-to-the-rejoinder/,https://www.business-humanrights.org/en/companies/harita/,ID,ID
Thermopower Process Technology,Chemical: General|Waste disposal,ZA,ZA,,Building materials & equipment|Waste disposal,2009-08-11,Response to Business & Human Rights Resource Centre – for Weekly Update Newsletter,So. Africa: Community accuses Thermopower of environmental pollution & causing illness,"Certification|Clean, Healthy & Sustainable Environment|Governments|Impact Assessment|Lawsuits & regulatory action",Yes,Thermopower Process Technology,https://www.business-humanrights.org/en/latest-news/response-to-business-human-rights-resource-centre-for-weekly-update-newsletter/,https://www.business-humanrights.org/en/companies/thermopower-process-technology/,,ZA
Vedanta Resources Limited,"Metals & steel|Mining|Oil, gas & coal",GB,ZM,,Metals & steel|Mining,2007-10-26,"[Vedanta response to SCIAF, Christian Aid, Action for Southern Africa report on its mining operations in Zambia",Christian Aid & other organizations call on multinationals in Zambia to give the country “a better deal” in copper mining contracts,"Access to Water|Economic, Social, and Cultural Rights|Payments to governments",Yes,Vedanta Resources,https://www.business-humanrights.org/en/latest-news/vedanta-response-to-sciaf-christian-aid-action-for-southern-africa-report-on-its-mining-operations-in-zambia/,https://www.business-humanrights.org/en/companies/vedanta-resources/,,ZM
Carrefour,Clothing & textile|Supermarkets & grocery,FR,BD,,Clothing & textile|Supermarkets & grocery,2005-05-09,"Carrefour statement in response to an article by Clean Clothes Campaign on involvement with Spectrum Sweater factory [Dhaka, Bangladesh","Clean Clothes Campaign says companies sourcing from Bangladesh factory failed to detect serious problems before building collapsed (includes responses by Carrefour, Zara, KarstadtQuelle, Cotton Group, Neckermann, Scapino, Steillmann)","Company Policies|Company Reporting|Company Training|Deaths|Economic, Social, and Cultural Rights|Human rights monitoring|Injuries|Labour Rights|Supply Chains",Yes,"Roland Vaxelaire, Director Quality & Sustainable Development for Carrefour",https://www.business-humanrights.org/en/latest-news/carrefour-statement-in-response-to-an-article-by-clean-clothes-campaign-on-involvement-with-spectrum-sweater-factory-dhaka-bangladesh/,https://www.business-humanrights.org/en/companies/carrefour/,BD,BD
KarstadtQuelle,Clothing & textile,DE,BD,,Clothing & textile,2005-05-09,"KarstadtQuelle statement in response to an article by Clean Clothes Campaign on involvement with Spectrum Sweater factory [Dhaka, Bangladesh","Clean Clothes Campaign says companies sourcing from Bangladesh factory failed to detect serious problems before building collapsed (includes responses by Carrefour, Zara, KarstadtQuelle, Cotton Group, Neckermann, Scapino, Steillmann)",Deaths|Injuries|Labour Rights|Supply Chains,Yes,"Jörg Howe, Head of corporate communications, KarstadtQuelle",https://www.business-humanrights.org/en/latest-news/karstadtquelle-statement-in-response-to-an-article-by-clean-clothes-campaign-on-involvement-with-spectrum-sweater-factory-dhaka-bangladesh/,https://www.business-humanrights.org/en/companies/karstadtquelle/,BD,BD
Shell plc,"Hydrogen|Oil, gas & coal",GB,IE,,"Oil, gas & coal",2009-06-02,Shell response re Corrib gas protest,Ireland: Archbishop Desmond Tutu raises concerns over alleged assault on a protestor during protest against Shell's Corrib project,Protests|Violence,Yes,"Terry Nolan, Managing Director, Shell E&P Ireland",https://www.business-humanrights.org/en/latest-news/shell-response-re-corrib-gas-protest/,https://www.business-humanrights.org/en/companies/shell-plc/,,IE
Microsoft,Technology: Internet & social media|Technology: Software & Services,US,CN|US,,"Technology: Internet & social media|Technology, telecom & electronics",2006-05-16,Response to Business & Human Rights Resource Centre regarding Amnesty International item: “Fighting for Human Rights in Cyberspace”,"Amnesty Intl. online actions call on Microsoft, Yahoo!, Google not to assist govts. in repression of internet freedom",Access to Information|Freedom of Expression,Yes,Microsoft,https://www.business-humanrights.org/en/latest-news/response-to-business-human-rights-resource-centre-regarding-amnesty-international-item-fighting-for-human-rights-in-cyberspace/,https://www.business-humanrights.org/en/companies/microsoft/,,CN|US
Carlsberg Breweries,Food & beverage,DK,KH,,Food & beverage,2006-06-02,Carlsberg response to Australian Council of Trade Unions campaign raising concerns about the situation of women promoting beer brands in Asia,Asia: Campaign spotlights health dangers to young women promoting major beer brands,Illness|Personal Health|Sexual harassment|Violence|Women,Yes,Carlsberg,https://www.business-humanrights.org/en/latest-news/carlsberg-response-to-australian-council-of-trade-unions-campaign-raising-concerns-about-the-situation-of-women-promoting-beer-brands-in-asia/,https://www.business-humanrights.org/en/companies/carlsberg-breweries/,,KH
Newmont (formerly Newmont Goldcorp),Mining,US,GH,,Mining,2006-02-28,"Response to John O’Reilly’s comment on the November 2005 incident involving shooting of protesters by police at New Abirem, Ghana","Ghana: Police fired on farmers in November, killing one - were protesting inadequate compensation from Newmont for losses of crop trees",Companies Raising Human Rights Issues with Governments|Company Grievance Mechanisms|Governments|Killings|Protests|Security Issues & Conflict Zones|Violence|Voluntary Principles on Security & Human Rights,Yes,"Dr Chris Anderson, Group Executive Social Responsibility & Director External Affairs, Africa & Europe, Newmont Mining",https://www.business-humanrights.org/en/latest-news/response-to-john-oreillys-comment-on-the-november-2005-incident-involving-shooting-of-protesters-by-police-at-new-abirem-ghana/,https://www.business-humanrights.org/en/companies/newmont-formerly-newmont-goldcorp/,,GH
Lev Leviev Group,Diamond,IL,AO|IL,,Construction|Diamond,2008-01-15,Lev Leviev Group of Companies response to Adalah-NY letter to Oxfam International,"Opinion: Granting Leviev's company contract for new UK embassy in Israel shows UK Govt. ""not serious about stopping Israeli settlements"" (Guardian)","Company Support for Initiatives Promoting Development, Economic and Social Rights|Complicity|Violence",Yes,Lev Leviev Group of Companies,https://www.business-humanrights.org/en/latest-news/lev-leviev-group-of-companies-response-to-adalah-ny-letter-to-oxfam-international/,https://www.business-humanrights.org/en/companies/lev-leviev-group/,GB,AO|IL
