ISO2_Code,Continent
AL,Europe
AT,Europe
BE,Europe
BG,Europe
CH,Europe
CY,Europe
CZ,Europe
DE,Europe
DK,Europe
EE,Europe
ES,Europe
FI,Europe
FR,Europe
GB,Europe
GR,Europe
HR,Europe
HU,Europe
IE,Europe
IS,Europe
IT,Europe
LT,Europe
LU,Europe
LV,Europe
MT,Europe
NL,Europe
NO,Europe
PL,Europe
PT,Europe
RO,Europe
RS,Europe
SE,Europe
SI,Europe
SK,Europe
UA,Europe
XK,Europe
AE,Asia
AF,Asia
AM,Asia
AZ,Asia
BD,Asia
BH,Asia
BN,Asia
BT,Asia
CN,Asia
GE,Asia
ID,Asia
IL,Asia
IN,Asia
IQ,Asia
IR,Asia
JO,Asia
JP,Asia
KH,Asia
KR,Asia
KW,Asia
KZ,Asia
LA,Asia
LB,Asia
LK,Asia
MM,Asia
MN,Asia
MY,Asia
NP,Asia
OM,Asia
PH,Asia
PK,Asia
PS,Asia
QA,Asia
SA,Asia
SG,Asia
SY,Asia
TH,Asia
TJ,Asia
TL,Asia
TM,Asia
TR,Asia
TW,Asia
UZ,Asia
VN,Asia
YE,Asia
AO,Africa
BF,Africa
BI,Africa
BJ,Africa
BW,Africa
CD,Africa
CF,Africa
CG,Africa
CI,Africa
CM,Africa
DJ,Africa
DZ,Africa
EG,Africa
EH,Africa
ER,Africa
ET,Africa
GA,Africa
GH,Africa
GM,Africa
GN,Africa
GQ,Africa
KE,Africa
KM,Africa
LR,Africa
LS,Africa
LY,Africa
MA,Africa
MG,Africa
ML,Africa
MR,Africa
MU,Africa
MW,Africa
MZ,Africa
NA,Africa
NE,Africa
NG,Africa
RE,Africa
RW,Africa
SC,Africa
SD,Africa
SH,Africa
SL,Africa
SN,Africa
SO,Africa
SS,Africa
ST,Africa
SZ,Africa
TD,Africa
TG,Africa
TN,Africa
TZ,Africa
UG,Africa
YT,Africa
ZA,Africa
ZM,Africa
ZW,Africa
CA,North America
US,North America
MX,North America
GT,North America
SV,North America
HN,North America
NI,North America
CR,North America
PA,North America
BS,North America
CU,North America
DO,North America
HT,North America
JM,North America
AR,South America
BO,South America
BR,South America
CL,South America
CO,South America
EC,South America
GY,South America
PE,South America
PY,South America
SR,South America
UY,South America
VE,South America
AU,Australia
FJ,Australia
NZ,Australia
PG,Australia
WS,Australia
SB,Australia
TO,Australia
TV,Australia
VU,Australia
Global,Global
no_data,no_data
