URL,Countries_Filled,Country_Code,Continent,Companies,Company Headquarters,HQ_Country,HQ_Continent
https://www.business-humanrights.org/en/latest-news/aquila-capital-responded/,NO,NO,Europe,Aquila Capital,DE,DE,Europe
https://www.business-humanrights.org/en/latest-news/eolus-vind-responded/,NO,NO,Europe,Eolus Vind,SE,SE,Europe
https://www.business-humanrights.org/en/latest-news/alcoa-responded/,NO,NO,Europe,Alcoa,US,US,North America
https://www.business-humanrights.org/en/latest-news/international-bank-of-mozambique/,MZ,MZ,Africa,Banco Internacional de Moçambique - International Bank of Mozambique,MZ,MZ,Africa
https://www.business-humanrights.org/en/latest-news/fábrica-de-explosivos-de-moçambique/,MZ,MZ,Africa,Fábrica de Explosivos de Moçambique,MZ,MZ,Africa
https://www.business-humanrights.org/en/latest-news/al-raqeeb-buildings-general-contracting-co-did-not-respond-to-allegations-of-withheld-wages-passports/,KW,KW,Asia,Al Raqeeb Buildings General Contracting Co.,KW,KW,Asia
https://www.business-humanrights.org/en/latest-news/twitter-did-not-respond-re-blocking-of-uae-human-rights-defenders-accounts/,AE,AE,Asia,X Corp. (formerly Twitter),US,US,North America
https://www.business-humanrights.org/en/latest-news/cfe-no-respondió/,MX,MX,South America,Comisión Federal de Electricidad (CFE),MX,MX,South America
https://www.business-humanrights.org/en/latest-news/indonesia-mining-companies-seek-approval-to-dispose-mining-waste-into-ocean-despite-potential-damage-to-local-ecosystem-harita-responds/harita-did-not-respond-to-the-rejoinder/,ID,ID,Asia,Harita Nickel,ID,ID,Asia
https://www.business-humanrights.org/en/latest-news/response-to-business-human-rights-resource-centre-for-weekly-update-newsletter/,ZA,ZA,Africa,Thermopower Process Technology,ZA,ZA,Africa
https://www.business-humanrights.org/en/latest-news/vedanta-response-to-sciaf-christian-aid-action-for-southern-africa-report-on-its-mining-operations-in-zambia/,ZM,ZM,Africa,Vedanta Resources Limited,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/carrefour-statement-in-response-to-an-article-by-clean-clothes-campaign-on-involvement-with-spectrum-sweater-factory-dhaka-bangladesh/,BD,BD,Asia,Carrefour,FR,FR,Europe
https://www.business-humanrights.org/en/latest-news/karstadtquelle-statement-in-response-to-an-article-by-clean-clothes-campaign-on-involvement-with-spectrum-sweater-factory-dhaka-bangladesh/,BD,BD,Asia,KarstadtQuelle,DE,DE,Europe
https://www.business-humanrights.org/en/latest-news/shell-response-re-corrib-gas-protest/,IE,IE,Europe,Shell plc,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/response-to-business-human-rights-resource-centre-regarding-amnesty-international-item-fighting-for-human-rights-in-cyberspace/,CN|US,CN,Asia,Microsoft,US,US,North America
https://www.business-humanrights.org/en/latest-news/response-to-business-human-rights-resource-centre-regarding-amnesty-international-item-fighting-for-human-rights-in-cyberspace/,CN|US,US,North America,Microsoft,US,US,North America
https://www.business-humanrights.org/en/latest-news/carlsberg-response-to-australian-council-of-trade-unions-campaign-raising-concerns-about-the-situation-of-women-promoting-beer-brands-in-asia/,KH,KH,Asia,Carlsberg Breweries,DK,DK,Europe
https://www.business-humanrights.org/en/latest-news/response-to-john-oreillys-comment-on-the-november-2005-incident-involving-shooting-of-protesters-by-police-at-new-abirem-ghana/,GH,GH,Africa,Newmont (formerly Newmont Goldcorp),US,US,North America
https://www.business-humanrights.org/en/latest-news/lev-leviev-group-of-companies-response-to-adalah-ny-letter-to-oxfam-international/,AO|IL,AO,Africa,Lev Leviev Group,IL,IL,Asia
https://www.business-humanrights.org/en/latest-news/lev-leviev-group-of-companies-response-to-adalah-ny-letter-to-oxfam-international/,AO|IL,IL,Asia,Lev Leviev Group,IL,IL,Asia
https://www.business-humanrights.org/en/latest-news/tongaat-huletts-response-to-death-of-striking-worker-at-its-mafambisse-sugar-plantation/,MZ,MZ,Africa,Tongaat Hulett,ZA,ZA,Africa
https://www.business-humanrights.org/en/latest-news/aluminij-response-to-amnesty-intl-report-bosnia-and-herzegovina-behind-closed-gates-ethnic-discrimination-in-employment-see-also-9-feb-further-response-by-aluminij/,BA,BA,Europe,Aluminij,BA,BA,Europe
https://www.business-humanrights.org/en/latest-news/statement-from-the-walt-disney-company-china/,CN,CN,Asia,Walt Disney,US,US,North America
https://www.business-humanrights.org/en/latest-news/glaxosmithkline-response-to-médecins-sans-frontières-statement-on-prices-of-antiretroviral-drugs-in-developing-countries/,Global,Global,Global,GlaxoSmithKline,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/monsanto-response-to-seeds-of-change/,IN,IN,Asia,Monsanto (part of Bayer),US,US,North America
https://www.business-humanrights.org/en/latest-news/sitio-web-de-grupo-méxico-pasta-de-conchos/,MX,MX,South America,Grupo México,MX,MX,South America
https://www.business-humanrights.org/en/latest-news/glaxo-smith-kline-response-re-hpv-vaccine-testing-in-india/,IN,IN,Asia,GlaxoSmithKline,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/response-of-alcoa-to-toxic-100-ranking/,US,US,North America,Alcoa,US,US,North America
https://www.business-humanrights.org/en/latest-news/shell-response-re-climate-change-report/,NG,NG,Africa,Shell plc,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/hsbc-response-to-south-china-morning-post-article-raising-concerns-about-shares-in-the-chinese-company-henan-rebecca/,CN,CN,Asia,HSBC,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/royalife-ltd-response-to-a-report-raising-concerns-over-the-treatment-of-palestinian-workers-in-west-bank-factories/,IL,IL,Asia,Royalife,IL,IL,Asia
https://www.business-humanrights.org/en/latest-news/vedanta-response-to-survival-international-press-release-about-alleged-harassment-of-human-rights-investigators-india/,IN,IN,Asia,Vedanta Resources Limited,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/independência-response-to-concerns-raised-by-greenpeace-including-that-independência-has-acquired-cattle-from-ranchers-linked-to-forced-labour/,BR,BR,South America,Independencia,BR,BR,South America
https://www.business-humanrights.org/en/latest-news/goldcorp-response-re-san-martin-mine/,HN,HN,South America,Goldcorp (now Newmont),CA,CA,North America
https://www.business-humanrights.org/en/latest-news/response-of-general-electric-to-toxic-100-ranking/,US,US,North America,General Electric (GE),US,US,North America
https://www.business-humanrights.org/en/latest-news/dundee-precious-metals-response-regarding-sofia-news-agency-article-bulgarian-town-rises-against-canadian-mining-company-dundee/,BG,BG,Europe,Dundee Precious Metals,CA,CA,North America
https://www.business-humanrights.org/en/latest-news/response-to-bbc-file-on-four-programme-re-ghana/,CD|GH,CD,Africa,AngloGold Ashanti,ZA,ZA,Africa
https://www.business-humanrights.org/en/latest-news/response-to-bbc-file-on-four-programme-re-ghana/,CD|GH,GH,Africa,AngloGold Ashanti,ZA,ZA,Africa
https://www.business-humanrights.org/en/latest-news/shell-response-to-urgent-action-statement-by-movement-for-the-survival-of-the-ogoni-people-mosop/,NG,NG,Africa,Shell plc,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/new-yorker-response-to-clean-clothes-campaign-update-on-spectrum-shahriyar-factory-collapse/,BD,BD,Asia,New Yorker,DE,DE,Europe
https://www.business-humanrights.org/en/latest-news/motorola-response-to-us-campaign-to-end-the-israeli-occupation/,IL,IL,Asia,Motorola (now Motorola Solutions & Motorola Mobility),US,US,North America
